13,3
118,3
78,3
72,3
-56,3
105,3
116,3
86,-3
66,-3
101,-3
31,-3
116,-3
-1,-3
58,-3
113,-3
-81,-3
71,-3
-47,-3
75,-3
51,-3
-128,-3
102,-3
-86,-3
-95,-3
62,-1
-48,-1
-125,-1
-105,-1
-56,-1
96,-1
13,-1
-52,-1
119,-1
-67,-1
-126,-1
99,-1
57,-1
110,-1
26,-1
83,-1
-68,-5
-52,-5
92,-5
-73,-5
-122,-5
1,-5
-10,-5
-97,-5
66,-5
118,-5
40,-5
-57,-5
-78,-5
-7,-5
105,-5
-95,-5
-53,-5
-11,-1
-28,-1
-77,-1
13,-1
-2,-1
-97,-1
-59,-1
122,-1
6,-1
74,-1
-13,-1
112,-1
-118,-1
-90,-1
16,-1
124,-1
